Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Iron Acton,IRON ACTON GREEN LIMITED,Iron Acton 275kV Substation,1,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iod,PRO-000491-1
Iron Acton,IRON ACTON GREEN LIMITED,Iron Acton 275kV Substation,2,0,49.5,99.4,2024-09-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iod,PRO-000491-2
Iron Acton,IRON ACTON GREEN LIMITED,Iron Acton 275kV Substation,3,0,20.6,120,2027-09-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iod,PRO-000491-3
Ironbridge,IGP SOLAR 16 LIMITED,Ironbridge 400kV Substation,,0,600,600,2029-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iNV,PRO-001629
Ironbridge Green Energy Centre,INNOVA RENEWABLES LIMITED,Ironbridge 400kV Substation,,0,400,400,2029-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005igD,PRO-001711
Ironbridge - New Connection,ENSO GREEN HOLDINGS F LIMITED,Ironbridge 400kV Substation,1,0,49.9,49.9,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyu,PRO-001359-1
Ironbridge - New Connection,ENSO GREEN HOLDINGS F LIMITED,Ironbridge 400kV Substation,2,0,49.9,99.8,2026-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyu,PRO-001359-2
Ironbridge - New Connection,ENSO GREEN HOLDINGS F LIMITED,Ironbridge 400kV Substation,3,0,20.2,120,2026-12-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyu,PRO-001359-3
Isenau Eight,Isenau Energy Storage Resources Eight Limited,Hawthorn Pit GSP,,0,249,249,2023-06-22,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TP9o,PRO-003164
Isenau Five,Isenau Energy Storage Resources Five Limited,Tealing 132kV Substation,,0,50,50,2029-06-30,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000TPCE,PRO-003190
Isle of Man Offshore Wind Farm,Orsted Isle of Man (UK) Limited,Penwortham 400kV Substation,,0,1320,1320,2037-10-30,Scoping,Directly Connected,NGET,Wind Offshore,a0l8e000000ex1K,PRO-003698
Iver,PIVOTED POWER LLP,Iver 275kV Substation,,0,49.9,49.9,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieN,PRO-001141
J102A Oldbury BESS,JBM SOLAR LIMITED,Iron Acton 132kV Substation,,0,99.9,99.9,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000eyu0,PRO-003784
J212 High Grove Solar,JBM SOLAR LIMITED,Necton 400kV Substation,,0,720,720,2031-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQWk,PRO-002542
Jamesfield Farm Battery Storage,HARMONY JF LIMITED,Abernethy GSP,,30,0,30,,Built,Embedded,SHET,Energy Storage System,a0l4L0000005iOj,PRO-001237
Jamesfield Farm Phase 2 Battery Storage,HARMONY JF LIMITED,Abernethy GSP,,19,0,19,,Built,Embedded,SHET,Energy Storage System,a0l4L0000005iOk,PRO-001236
JBM Solar 12 - Shrewsbury Solar,JBM SOLAR PROJECTS 12 LIMITED,Shrewsbury GSP,,0,49.99,49.99,2024-10-30,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iiC,PRO-001146
JBM Solar 13 - Melksham,JBM SOLAR PROJECTS 13 LIMITED,Melksham 400kV Substation,,0,49.99,49.99,2026-06-30,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005iog,PRO-000495
Jersey Farm BESS,CSE39 LIMITED,Exeter 400kV Substation,,0,400,400,2032-10-25,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyR,PRO-002264
JG Pears,JG PEARS GRID CONNECTION LIMITED,High Marnham GSP,1,13,0,13,,Built,Directly Connected,NGET,CHP (Combined Heat and Power),a0l4L0000005irE,PRO-000250-1
JG Pears,JG PEARS GRID CONNECTION LIMITED,High Marnham GSP,2,0,17,30,2019-09-06,Under Construction/Commissioning,Directly Connected,NGET,CHP (Combined Heat and Power),a0l4L0000005irE,PRO-000250-2
Jubilee Farm,STARLIGHT ENERGY UK LIMITED,Jubilee Farm 275kV Substation,,0,200,200,2034-08-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQX9,PRO-002545
Kaimes Energy Park,HP Trotter t/a Printonan Farm,Kaimes 275/33kV Substation,,0,51,51,2027-04-30,Scoping,Embedded,SPT,Demand; Energy Storage System,a0l4L0000005iT4,PRO-000942
Keadby,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,755,155,910,2026-10-01,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq0,PRO-000199
Keadby,ONE PLANET DEVELOPMENTS LIMITED,Keadby GSP,,0,250,250,2033-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000000evgG,PRO-003634
Keadby 3,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,0,910,910,2026-10-01,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iYv,PRO-001962
Keadby Hydrogen,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,0,892,892,2031-10-31,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iZM,PRO-001980
Keadby II,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,893,0,893,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005isQ,PRO-000310
Kearsley,PIVOTED POWER LLP,Kearsley 400kV Substation,,0,49.9,49.9,2028-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iud,PRO-001064
Kearsley North Green Energy Centre,INNOVA RENEWABLES LIMITED,Kearsley GSP,,0,400,400,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyf,PRO-001793
Kedrum Solar Farm,Rosside Energy Limited,Blackhillock 275kV Substation,,0,150,150,2030-05-30,Scoping,Directly Connected,SHET,PV Array (Photo Voltaic/solar),a0l8e000000TPc0,PRO-003444
Keith 132 Greener Grid Park,KEITH STORAGE SOLUTIONS LIMITED,Keith 1 132/33kV GSP Substation,1,0,0,0,,Built,Directly Connected,SHET,Energy Storage System; Reactive Compensation,a0l4L0000005ifT,PRO-001129-1
Keith 132 Greener Grid Park,KEITH STORAGE SOLUTIONS LIMITED,Keith 1 132/33kV GSP Substation,2,0,48,48,2024-05-31,Consents Approved,Directly Connected,SHET,Energy Storage System; Reactive Compensation,a0l4L0000005ifT,PRO-001129-2
Keith Battery Storage,KEITH RENEWABLE LIMITED,Keith 1 132/33kV GSP Substation,,0,39,39,2026-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iU5,PRO-001742
Keith BESS Station,IB VOGT UK LTD,Blackhillock substation,,0,400,400,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000011z3K,PRO-003565
Keith Hill Wind Farm,DIAMOND WIND LIMITED,Keith Hill  33kV Substation,,4.5,0,4.5,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005irF,PRO-000251
Keithick 16 Solar & BESS,SIRIUS ECODEV (KEITHICK) LTD,Coupar Angus GSP,,0,16,16,2024-06-30,Consents Approved,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iQX,PRO-001890
Keithick Estate,SIRIUS ECODEV (STIRLING) LTD,Coupar Angus GSP,,0,49.99,49.99,2024-06-30,Consents Approved,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iU3,PRO-001732
Keith Solar Farm,KEITH SOLAR PV LIMITED,Keith Solar Farm 275kV Substation,,0,150,150,2028-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010waM,PRO-002699
Kellas Wind Farm,E Power Limited,Kellas Wind Farm 132kV Substation,,0,90,90,2030-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iuZ,PRO-002271
Kelloe Mains,TBC 003 LIMITED,Kelloe Mains 400kV Substation,,0,400,400,2029-11-22,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005itT,PRO-002425
Kellwood Road BESS,Geocore Ltd,Kellwood Road 33KV Substation,,0,40,40,2027-10-31,Scoping,Embedded,SPT,Energy Storage System,a0l8e000000exN8,PRO-003710
Kemsley,GROVEHURST ENERGY LIMITED,Kemsley GSP,,35.8,0,35.8,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iSm,PRO-001328
Kemsley,PIVOTED POWER LLP,Kemsley 400kV Substation,,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System,a0l4L0000005iqk,PRO-000235
Kennoxhead Wind Farm,ORSTED ONSHORE UK LIMITED,Kennoxhead GSP,,0,112,112,2024-02-27,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005isg,PRO-000319
Kennoxhead Wind Farm Extension,KENNOXHEAD WIND FARM LIMITED,Middlemuir Wind Farm Collector Substation,,60,0,60,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inZ,PRO-000482
Kilbraur North Wind Farm,EDF ENERGY RENEWABLES LIMITED,Kilbraur Wind Farm Substation,,0,79.2,79.2,2031-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l8e000000f6hC,PRO-003987
Kilbraur Wind Farm,KILBRAUR WIND ENERGY LIMITED,Kilbraur Wind Farm Substation,,67,0,67,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iqg,PRO-000226
Kilgallioch Wind Farm and Kilgallioch Wind Farm Extension - Turbines,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Kilgallioch 275kV Substation,1,228,0,228,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imc,PRO-000065-1
Kilgallioch Wind Farm and Kilgallioch Wind Farm Extension - Turbines,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Kilgallioch 275kV Substation,2,0,46,274,2024-04-30,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005imc,PRO-000065-2
Killingholme,UNIPER UK LIMITED,Killingholme 400kV Substation,1,600,0,600,,Built,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ioT,PRO-000148-1
Killingholme,UNIPER UK LIMITED,Killingholme 400kV Substation,2,0,19,619,2024-04-01,Under Construction/Commissioning,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ioT,PRO-000148-2
Killingholme BESS,O&G Solar (SPV 47) Limited,Killingholme 400kV Substation,,0,249.9,249.9,2035-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4xD,PRO-003893
Kilmarnock BESS,KILMARNOCK FLEXPOWER LTD,Kilmarnock Town 275/33kV Substation,,0,350,350,2025-07-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iwS,PRO-001836
Kilmarnock South Battery Storage,WEAVER POWER LIMITED,Kilmarnock South GSP,,0,500,500,2027-04-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ikQ,PRO-001809
Kilmorack (part of the Beauly Cascade),SSE GENERATION LIMITED,Kilmorack GSP,,20,0,20,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip1,PRO-000172
Kincardine Battery Storage Facility,SPECTRUMRESERVE LTD,Fife Grid Services Facility 275kV Substation,,0,200,200,2024-04-12,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iOR,PRO-000856
Kincardine Energy Storage Facility,ENERGYGRIDPOWER3 LTD,Fife Grid Services Facility 275kV Substation,,0,200,200,2024-04-12,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iP9,PRO-001653
Kincardine Offshore Wind Farm,KINCARDINE OFFSHORE WINDFARM LIMITED,Redmoss GSP,,49.6,0,49.6,,Built,Embedded,SHET,Wind Offshore,a0l4L0000005iW4,PRO-000277
Kincraig Energy Centre,Kincraig Energy Centre Limited,Dyce GSP,,0,20.622,20.622,2024-03-29,Scoping,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iUa,PRO-001810
King's Lynn 'B' Power Station,EP UK POWER DEVELOPMENT LTD,King's Lynn 400kV Substation,,0,1700,1700,2025-10-01,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ivm,PRO-001054
Kingfisher Farm,CSWE 6 LIMITED,Monk Fryston 275kV Substation,,0,200,200,2036-06-02,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L000002yQZy,PRO-002555
Kings Lynn A,RWE GENERATION UK PLC,Walpole 132kV Substation,,395,0,395,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iVR,PRO-000138
Kingsnorth,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth 400kV Substation,1,0,49.9,49.9,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5,PRO-001360-1
Kingsnorth,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth 400kV Substation,2,0,49.9,99.8,2026-06-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5,PRO-001360-2
Kingsnorth,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth 400kV Substation,3,0,20.2,120,2026-12-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5,PRO-001360-3
Kingsnorth BESS NP,NORIKER POWER LTD,Kingsnorth 400kV Substation,,0,500,500,2032-10-29,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wXV,PRO-002665
Kinmuck PV and BESS Station,IGP SOLAR 24 LIMITED,Peterhead GSP,,0,105,105,2027-05-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iev,PRO-001700
Kintradwell Energy Park,Renewable Energy Systems Limited,Kintradwell 132/33kV Substation,,0,71.4,71.4,2027-06-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iyw,PRO-001377
Kirkby,HD001KIR LTD,Kirkby 275kV Substation,1,0,49.9,49.9,2025-09-30,Consents Approved,Directly Connected,NGET,Gas Reciprocating,a0l4L0000005ice,PRO-001084-1
Kirkby,HD001KIR LTD,Kirkby 275kV Substation,2,0,7.1,57,2037-10-30,Scoping,Directly Connected,NGET,Gas Reciprocating,a0l4L0000005ice,PRO-001084-2
Kirkby (Tertiary),PIVOTED POWER LLP,Kirkby 275kV Substation,,0,57,57,2025-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005icf,PRO-001083
Kirkby Green Energy Centre,INNOVA RENEWABLES LIMITED,Kirkby 275kV Substation,,0,400,400,2028-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPZ,PRO-001869
Kirk Hill,KIRK HILL WIND FARM LIMITED,Maybole GSP,,0,20,20,2023-12-15,Consents Approved,Embedded,SPT,Wind Onshore,a0l4L0000005iWM,PRO-000320
Kirklands Farm BESS,GPC Battery Ltd,Westfield GSP,,0,200,200,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011y2m,PRO-003499
Kirkton Wind Farm,Kirkton Wind Farm Ltd,Kirkton Wind Farm 132kV Substation,,0,60,60,2027-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ikR,PRO-001811
Knockcronal Wind Farm,Knockcronal Wind Farm Limited,Knockcronal Wind Farm 33kV Substation,,0,59.4,59.4,2027-06-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikK,PRO-001801
Knockkippen Energy Park,Naturalis Energy Developments Ltd,Ayr 275/33 kV Substation,,0,60,60,2026-09-30,Scoping,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l4L0000005iXo,PRO-001826
Knocknagael BESS,VIRMATI ENERGY LTD,Knocknagael 132kV Substation,,0,200,200,2030-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000exNN,PRO-003712
Knockodhar Wind Farm,REG KNOCKODHAR LIMITED,Mark Hill 275kV Substation,,0,120,120,2028-04-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005inY,PRO-000483
KX Alpha 1 Iron Acton,KXP ALPHA I LIMITED,Iron Acton 275kV Substation,,0,99,99,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000ew2i,PRO-003647
KX Alpha 2 Iron Acton,KXP ALPHA II LIMITED,Iron Acton 275kV Substation,,0,99,99,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000ew2n,PRO-003648
KX Alpha 3 Iron Acton,KXP ALPHA III LIMITED,Iron Acton 275kV Substation,,0,99.9,99.9,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000ew2s,PRO-003649
KXP Alpha 1 Little Horsted,KXP ALPHA I LIMITED,Little Horsted 400kV Substation,,0,99.9,99.9,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000eykz,PRO-003776
KXP Alpha 2 Little Horsted,KXP ALPHA II LIMITED,Little Horsted 400kV Substation,,0,99.9,99.9,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000eyl4,PRO-003777
KXP Alpha 3 Little Horsted,KXP ALPHA III LIMITED,Little Horsted 400kV Substation,,0,99.9,99.9,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000eyl5,PRO-003778
KXP Alpha One,KXP ALPHA I LIMITED,Fawley 132kV Substation,,0,99.9,99.9,2036-10-24,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyW,PRO-002348
KXP Alpha Three,KXP ALPHA III LIMITED,Fawley 132kV Substation,,0,99.9,99.9,2036-10-24,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyD,PRO-002351
KXP Alpha Two,KXP ALPHA II LIMITED,Fawley 132kV Substation,,0,99.99,99.99,2036-10-24,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iku,PRO-002349
Kype Muir,BANKS RENEWABLES (KYPE MUIR WIND FARM) LIMITED,Coalburn 132/33kV Substation,,88.4,0,88.4,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005isV,PRO-000316
L48 BESS Burnside,Lower 48 Energy BESS Limited,New Deer 2 132kV Substation,,0,200,200,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000010xRp,PRO-003063
L48 BESS Dams of Craigie,Lower 48 Energy BESS Limited,L48 BESS Dams of Craigie,,0,220,220,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4ZK,PRO-003853
L48 BESS Glen App,Lower 48 Energy BESS Limited,L48 BESS Glen App,,0,200,200,2028-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000010xJ5,PRO-003058
Lacey's Farm BESS,Bluestone Energy Ltd,Rayleigh Main 400kV Substation,,0,924,924,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000001HomM,PRO-004095
Lairdmannoch Energy Park,WIND 2 PROJECT 4 LIMITED,Lairdmannoch Energy Park 132kV substation,,0,100,100,2030-06-28,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000eytl,PRO-003781
Lairg II Wind Farm,ENERGYFARM UK LAIRG LLP,Lairg GSP,,0,50,50,2026-10-31,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ibk,PRO-001434
Lakeside Energy Drax,LAKESIDE ENERGY STORAGE LIMITED,Drax GSP,,0,99.9,99.9,2024-03-29,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifz,PRO-001522
Laleham,PIVOTED POWER LLP,Laleham 275kV Substation,,0,49.9,49.9,2025-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iue,PRO-001063
Laleham BESS,Acorn Power Limited,Laleham 132kV Substation,,0,200,200,2038-04-30,Scoping,Embedded,NGET,Energy Storage System,a0l8e000001Hxbb,PRO-004277
Lamford Hill,Benbrack Wind Farm Limited,Lamford Hill 132kV/33kV Substation,,0,20,20,2026-10-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005izC,PRO-001481
Lanarkshire BESS,CARLTON POWER LIMITED,Strathaven 400kV,,0,500,500,2027-04-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ivk,PRO-002183
Landulph,PIVOTED POWER LLP,Landulph 400kV Substation,,0,49.9,49.9,2022-10-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifR,PRO-001131
Lan Fawr Energy Park,LAN FAWR ENERGY PARK LIMITED,Pont Abraham GSP,,0,246.4,246.4,2028-09-11,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iP4,PRO-001609
Langage,EP LANGAGE LIMITED,Langage 400kV Substation,,905,0,905,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005itv,PRO-000200
Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,1,0,200,200,2036-12-19,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl,PRO-002192-1
Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,2,0,100,300,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl,PRO-002192-2
Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,3,0,100,400,2038-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl,PRO-002192-3
Langage Battery Storage,LANGAGE ENERGY PARK LIMITED,Langage 400kV Substation,,0,249,249,2031-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaC,PRO-002016
Langage Farm,Hatchworks Investments Ltd,Langage 400kV Substation,,0,1000,1000,2037-12-19,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQaS,PRO-002561
Langbank Solar and BESS,UK RENFREWSHIRE 1 LTD,Devol Moor 132kV Substation,,0,49.9,49.9,2027-10-29,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011zGE,PRO-003569
Larks Green Farm BESS,VOLTALIA UK LTD,Iron Acton 132kV Substation,,0,100,100,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4Z0,PRO-003849
Lawfield and Branxton Energy Park,Renewable Energy Systems Limited,Lawfield and Branxton Energy Park 400kV Substation,,0,400,400,2028-06-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iu5,PRO-002229
Leadenham High Impact Green Energy Hub,TELIS ENERGY UK LIMITED,Navenby 400kV Substation,,0,1000,1000,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Nuclear; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e000000f40k,PRO-003815
Learielaw Energy Storage,Learielaw Energy Storage Ltd,Broxburn GSP,,0,100,100,2028-10-31,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005jA7,PRO-002531
Learney BESS,IGP SOLAR 22 LIMITED,Learney Teed 132kV,,0,50,50,2032-10-01,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000TPI2,PRO-003241
Lebanon Farm 2 BESS,Bluestone Energy Ltd,Warley 275kV Substation,,0,275,275,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f5dj,PRO-003939
Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,1,0,200,200,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn,PRO-002193-1
Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,2,0,100,300,2034-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn,PRO-002193-2
Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,3,0,100,400,2035-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn,PRO-002193-3
Legacy Green Energy Centre,LEGACY GREEN ENERGY LIMITED,Legacy 400kV Substation,1,0,400,400,2026-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idL,PRO-001662-1
Legacy Green Energy Centre,LEGACY GREEN ENERGY LIMITED,Legacy 400kV Substation,2,0,400,800,2032-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idL,PRO-001662-2
Legacy Green Energy Centre,LEGACY GREEN ENERGY LIMITED,Legacy 400kV Substation,3,0,225,1025,2033-10-28,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idL,PRO-001662-3
Legacy Tertiary Connection,HD639LEG LIMITED,Legacy 400kV Substation,,0,57,57,2024-08-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005izM,PRO-001171
Leighton Buzzard,ORRÖN ENERGY DEVELOPMENT LIMITED,Leighton Buzzard 400kV Substation,,0,1000,1000,2032-10-31,Scoping,Directly Connected,NGET,Demand; PV Array (Photo Voltaic/solar),a0l8e000000TPR0,PRO-003411
Lessnessock Solar Farm,Renewable Energy Systems Limited,Coylton 132/33kV Substation,,0,150,150,2030-07-30,Scoping,Directly Connected,SPT,PV Array (Photo Voltaic/solar),a0l4L0000005iyT,PRO-002454
Letch Beck Energy Park,Renewable Energy Systems Limited,Norton East 400kV Substation,,0,600,600,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQZU,PRO-002550
Lethans Wind Farm,BANKS RENEWABLES (LETHANS WIND FARM) LIMITED,Lethans 132kV Substation,,0,132,132,2027-06-30,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZ9,PRO-001367
Lethans Wind Farm Extension,Banks Renewables (Lethans East Wind Farm) Limited,Lethans 132kV Substation,,0,85,85,2027-10-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e0000011ywS,PRO-003553
Lethen Wind Farm,FRED. OLSEN RENEWABLES LIMITED,Lethen Wind Farm 132/33kV Substation,,0,114,114,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ivM,PRO-002307
Leys Energy Storage,Renewable Energy Systems Limited,Knocknagael 132kV Substation,,0,400,400,2032-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000011zQ6,PRO-003584
LGB300,Lovat Estates Ltd,LGB300 400KV Substation,,0,300,300,2031-07-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000f52S,PRO-003907
