,_id,Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID
558,557,Iver,PIVOTED POWER LLP,Iver 275kV Substation,,0,49.9,49.9,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieN
559,558,Jamesfield Farm Battery Storage,HARMONY JF LIMITED,Abernethy GSP,,0,30,30,31/10/2022,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iOj
560,559,Jamesfield Farm Phase 2 Battery Storage,HARMONY JF LIMITED,Abernethy GSP,,0,19,19,31/10/2022,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iOk
561,560,JBM Solar 12 - Shrewsbury Solar,JBM SOLAR PROJECTS 12 LTD,Shrewsbury GSP,,0,49.99,49.99,30/10/2024,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iiC
562,561,JBM Solar 13 - Melksham,JBM SOLAR PROJECTS 13 LIMITED,Melksham 400kV Substation,,0,49.99,49.99,30/06/2026,Scoping,Directly Connected,NGET,Thermal,a0l4L0000005iog
563,562,JG Pears,JG PEARS GRID CONNECTION LIMITED,High Marnham GSP,1,13,0,13,,Built,Directly Connected,NGET,CHP (Combined Heat and Power),a0l4L0000005irE
564,563,JG Pears,JG PEARS GRID CONNECTION LIMITED,High Marnham GSP,2,0,17,30,06/09/2019,Under Construction/Commissioning,Directly Connected,NGET,CHP (Combined Heat and Power),a0l4L0000005irE
565,564,Keadby,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,755,155,910,01/10/2026,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq0
566,565,Keadby Hydrogen,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,0,892,892,31/10/2031,Awaiting Consents,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iZM
567,566,Keadby II,KEADBY GENERATION LIMITED,Keadby 400kV Substation,,893,0,893,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005isQ
568,567,Kearsley,PIVOTED POWER LLP,Kearsley 400kV Substation,,0,49.9,49.9,31/10/2028,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iud
569,568,Kearsley North Green Energy Centre,INNOVA RENEWABLES LIMITED,Kearsley GSP,,0,400,400,31/10/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyf
570,569,Keith 132 Sync. Compensation,KEITH STORAGE SOLUTIONS LIMITED,Keith Compensation 132kV Substation,1,0,0,0,,Built,Directly Connected,SHET,Reactive Compensation,a0l4L0000005ifT
571,570,Keith 132 Sync. Compensation,KEITH STORAGE SOLUTIONS LIMITED,Keith Compensation 132kV Substation,2,0,48,48,31/01/2023,Consents Approved,Directly Connected,SHET,Reactive Compensation,a0l4L0000005ifT
572,571,Keith 275kV Greener Grid Park,KEITH STORAGE SOLUTIONS LIMITED,Keith 275KV Substation,,0,9.9,9.9,01/08/2024,Scoping,Directly Connected,SHET,Reactive Compensation,a0l4L0000005ivH
573,572,Keith Hill Wind Farm,DIAMOND WIND LIMITED,Keith Hill  33kV Substation,,4.5,0,4.5,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005irF
574,573,Keithick 16 Solar & BESS,SIRIUS ECODEV (KEITHICK) LTD,Coupar Angus GSP,,0,16,16,30/06/2024,Scoping,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iQX
575,574,Keithick Estate,SIRIUS ECODEV (KEITHICK) LTD,Coupar Angus GSP,,0,49.99,49.99,30/06/2024,Awaiting Consents,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iU3
576,575,Keith Solar,Keith Solar PV Limited,Keith GSP,,0,150,150,31/10/2028,Scoping,Directly Connected,SHET,PV Array (Photo Voltaic/solar),a0l4L0000005ivn
577,576,Kellas Wind Farm,E Power Limited,Kellas Wind Farm 132kV Substation,,0,90,90,31/10/2030,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iuZ
578,577,Kemsley,GROVEHURST ENERGY LIMITED,Kemsley GSP,,35.8,0,35.8,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iSm
579,578,Kemsley,PIVOTED POWER LLP,Kemsley 400kV Substation,,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System,a0l4L0000005iqk
580,579,Kennoxhead Wind Farm,ORSTED ONSHORE UK LIMITED,Kennoxhead GSP,,0,112,112,27/02/2024,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005isg
581,580,Kennoxhead Wind Farm Extension,KENNOXHEAD WIND FARM LIMITED,,,60,0,60,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inZ
582,581,Kilbraur Wind Farm,KILBRAUR WIND ENERGY LIMITED,Kilbraur Wind Farm Substation,,67,0,67,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iqg
583,582,Kilgallioch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Kilgallioch 275kV Substation,1,228,0,228,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imc
584,583,Kilgallioch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Kilgallioch 275kV Substation,2,0,46,274,30/04/2024,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005imc
585,584,Killingholme,UNIPER UK LIMITED,Killingholme 400kV Substation,1,600,0,600,,Built,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ioT
586,585,Killingholme,UNIPER UK LIMITED,Killingholme 400kV Substation,2,0,19,619,01/04/2024,Under Construction/Commissioning,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ioT
587,586,Kilmarnock BESS,Noriker Power Ltd,Kilmarnock Town 275/33kV Substation,,0,350,350,31/07/2025,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iwS
588,587,Kilmarnock South Battery Storage,WEAVER POWER LIMITED,Kilmarnock South GSP,,0,500,500,30/04/2027,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ikQ
589,588,Kilmorack (part of the Beauly Cascade),SSE GENERATION LIMITED,Kilmorack GSP,,20,0,20,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip1
590,589,Kincardine Battery Storage Facility,SPECTRUMRESERVE LTD,Fife Grid Services Facility 275kV Substation,,0,200,200,12/04/2024,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iOR
591,590,Kincardine Energy Storage Facility,ENERGYGRIDPOWER3 LTD,Fife Grid Services Facility 275kV Substation,,0,200,200,12/04/2024,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iP9
592,591,Kincardine Offshore Wind Farm,KINCARDINE OFFSHORE WINDFARM LIMITED,Redmoss GSP,,49.6,0,49.6,,Built,Embedded,SHET,Wind Offshore,a0l4L0000005iW4
593,592,Kincraig Energy Centre,Kincraig Energy Centre Limited,Dyce GSP,,0,20.622,20.622,29/03/2024,Scoping,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iUa
594,593,King's Lynn 'B' Power Station,EP UK POWER DEVELOPMENT LTD,King's Lynn 400kV Substation,,0,1700,1700,01/10/2025,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ivm
595,594,Kings Lynn A,RWE GENERATION UK PLC,Walpole 132kV Substation,,395,0,395,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iVR
596,595,Kingsnorth - New connection,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth GSP,1,0,49.9,49.9,30/06/2025,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5
597,596,Kingsnorth - New connection,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth GSP,2,0,49.9,99.8,30/06/2026,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5
598,597,Kingsnorth - New connection,ENSO GREEN HOLDINGS G LIMITED,Kingsnorth GSP,3,0,20.2,120,30/12/2026,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZ5
599,598,Kinmuck PV and BESS Station,IGP Solar 24 Limited,Peterhead GSP,,0,105,105,31/05/2027,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iev
600,599,Kintradwell Energy Park,RENEWABLE ENERGY SYSTEMS LIMITED,,,0,71.4,71.4,30/06/2027,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iyw
601,600,Kirkby,HD001KIR LTD,Kirkby 275kV Substation,,0,49.5,49.5,01/10/2023,Consents Approved,Directly Connected,NGET,Gas Reciprocating,a0l4L0000005ice
602,601,Kirkby (Tertiary),PIVOTED POWER LLP,Kirkby 275kV Substation,,0,49.9,49.9,01/11/2022,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005icf
603,602,Kirkby Green Energy Centre,INNOVA RENEWABLES LIMITED,Kirkby 275kV Substation,,0,400,400,30/10/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPZ
604,603,Kirk Hill,KIRK HILL WIND FARM LIMITED,Maybole GSP,,0,20,20,01/05/2023,Consents Approved,Embedded,SPT,Wind Onshore,a0l4L0000005iWM
605,604,Kirkton Wind Farm,Kirkton Wind Farm Ltd,,,0,60,60,31/10/2027,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ikR
606,605,Knockcronal Wind Farm,Knockcronal Wind Farm Limited,,,0,59.4,59.4,30/06/2027,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikK
607,606,Knockkippen Energy Park,Naturalis Energy Developments Ltd,Ayr 275/33 kV Substation,,0,60,60,30/09/2026,Scoping,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l4L0000005iXo
608,607,Knockodhar Wind Farm,REG KNOCKODHAR LIMITED,Mark Hill 275kV Substation,,0,120,120,30/04/2028,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005inY
609,608,KXP Alpha One,KXP ALPHA I LIMITED,Fawley 132 KV Substation,,0,99.9,99.9,24/10/2036,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyW
610,609,KXP Alpha Three,KXP ALPHA III LIMITED,Fawley 132 KV Substation,,0,99.9,99.9,24/10/2036,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyD
611,610,KXP Alpha TWO,KXP ALPHA II LIMITED,Fawley 132 KV Substation,,0,99.99,99.99,24/10/2036,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iku
612,611,Kype Muir,BANKS RENEWABLES (KYPE MUIR WIND FARM) LIMITED,Coalburn 132/33kV Substation,,88.4,0,88.4,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005isV
613,612,Lairg II Wind Farm,ENERGYFARM UK LAIRG LLP,,,0,50,50,31/10/2026,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ibk
614,613,Lakeside Energy Drax,Lakeside Energy Storage Limited,Drax GSP,,0,99.9,99.9,31/10/2023,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifz
615,614,Laleham,PIVOTED POWER LLP,Laleham 275kV Substation,,0,49.9,49.9,31/10/2024,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iue
616,615,Lamford Hill,RWE RENEWABLES UK ONSHORE WIND LIMITED,Lamford Hill 132kV/33kV Substation,,0,20,20,30/10/2026,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005izC
617,616,Lanarkshire BESS,CARLTON POWER LIMITED,,,0,200,200,30/04/2027,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ivk
618,617,Landulph,PIVOTED POWER LLP,Landulph 400kV Substation,,0,49.9,49.9,31/10/2022,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifR
619,618,Lan Fawr Energy Park,LAN FAWR ENERGY PARK LIMITED,Pont Abraham GSP,,0,246.4,246.4,11/09/2028,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iP4
620,619,Langage,EP LANGAGE LIMITED,Langage 400kV Substation,,905,0,905,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005itv
621,620,Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,1,0,200,200,19/12/2036,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl
622,621,Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,2,0,100,300,31/10/2037,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl
623,622,Langage 400,ENSO GREEN HOLDINGS LIMITED,Langage 400kV Substation,3,0,100,400,31/10/2038,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itl
624,623,Langage Battery Storage,LANGAGE ENERGY PARK LIMITED,Langage 400kV Substation,,0,249,249,30/10/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaC
625,640,Littlebrook BESS,ECODEV GROUP LTD,Littlebrook 400kV Substation,,0,300,300,15/07/2027,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iWg
626,624,Laughton Solar Park,West Burton Solar Project Limited,West Burton 400kV Substation,,0,480,480,30/11/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipf
627,625,Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,1,0,200,200,30/10/2033,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn
628,626,Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,2,0,100,300,30/10/2034,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn
629,627,Legacy 400,ENSO GREEN HOLDINGS LIMITED,Legacy 400kV Substation,3,0,100,400,30/10/2035,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izn
630,628,Legacy Green Energy Centre,LEGACY GREEN ENERGY LIMITED,Legacy GSP,,0,400,400,30/10/2026,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idL
631,629,Legacy Tertiary Connection,HD639LEG LIMITED,Legacy 400kV Substation,,0,57,57,31/08/2024,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005izM
632,630,Lethans Wind Farm,BANKS RENEWABLES (LETHANS WIND FARM) LIMITED,Lethans 132kV Substation,,0,132,132,30/06/2027,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZ9
633,631,Lethen Wind Farm,FRED. OLSEN RENEWABLES LIMITED,,,0,114,114,31/10/2029,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005ivM
634,632,Limekiln,LIMEKILN GRID LIMITED,Limekilns 132/33kV substation,,0,106,106,30/04/2024,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005itV
635,633,Lincs Offshore Wind Farm,LINCS WIND FARM LIMITED,Lincs 33/132kV Offshore Substation,,265,0,265,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqE
636,634,Lisa's Battery Storage,Potencia Energy Limited,,,0,47,47,31/10/2030,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000TPNR
637,635,Lister Battery (formerly Lister Drive),LISTER BATTERY LTD,Lister Drive 275kV Substation,,0,57,57,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz9
638,636,Lister Drive,ORSTED ESS MERSEY LIMITED,,,20,0,20,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iXS
639,637,Lister Drive 275kV,LISTER DRIVE SOLUTIONS LIMITED,Lister Drive 275kV Substation,,0,0,0,,Built,Directly Connected,NGET,Reactive Compensation,a0l4L0000005iOd
640,638,Lister Drive Shaw,Carnegie BES Limited,,,0,57,57,01/05/2025,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005izr
641,639,Little Barford,RWE GENERATION UK PLC,Eaton Socon 400kV,,740,0,740,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005inp
642,641,Little Hill,BRYN GILWERN ENERGY PARK LIMITED,Pont Abraham GSP,,0,74.9,74.9,31/10/2026,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUF
643,642,Little Raith BES,DAISY NO 2 LIMITED,Glenniston GSP,,0,50,50,15/08/2023,Consents Approved,Embedded,SPT,Energy Storage System,a0l4L0000005iQy
644,643,Livishie (part of the Moriston Cascade),SSE GENERATION LIMITED,Glenmoriston GSP,,18,0,18,,Built,Embedded,SHET,Hydro,a0l4L0000005iVY
645,644,Llanwern Phase 1,GREENFIELDS (T) LIMITED,,,0,95,95,01/11/2023,Awaiting Consents,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iwP
646,645,Llanwern Phase 2,GREENFIELDS (Q) LIMITED,Whitson 275/33kV Substation,,0,190,190,01/10/2028,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwO
647,646,Llwynygog,ESGAIR GALED ENERGY PARK LIMITED,Chirk GSP,,0,125,125,04/02/2027,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUK
648,647,Llŷr Floating Wind,Llŷr Floating Wind Limited,Pembroke 400kV Substation,,0,1800,1800,31/10/2031,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iZN
649,648,Llywelyn Extension Offshore Wind Farm,RENANTIS UK LIMITED,Pembroke 400kV Substation,,0,1000,1000,06/12/2036,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iyS
650,649,Llywelyn Floating Offshore Wind Farm,RENANTIS UK LIMITED,Pembroke 400kV Substation,,0,300,300,31/03/2029,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005idP
651,650,Lochay (Part of Killin Cascade Hydro Scheme),SSE GENERATION LIMITED,Lochay GSP,,47,0,47,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip2
652,651,Loch Fearna Pump Storage,GILKES ENERGY LIMITED,Loch Fearna Pumped Storage 132/18kV,,0,300,300,31/10/2029,Scoping,Directly Connected,SHET,Pump Storage,a0l8e0000010wOJ
653,652,Lochgoin Solar Farm,TURBINE MARKETING SPV LIMITED,Whitelee Extension,,0,89,89,01/08/2024,Scoping,Directly Connected,SPT,PV Array (Photo Voltaic/solar),a0l4L0000005igo
654,653,Loch Kemp PSH Phase 2,STATERA ENERGY LIMITED,Loch Kemp 275kV substation,,0,300,300,31/10/2030,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iwW
655,654,Loch Kemp Pumped Storage,LOCH KEMP STORAGE LIMITED,Loch Kemp 275kV substation,,0,300,300,31/10/2027,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005ix2
656,655,Lochluichart,LZN LIMITED,Corriemoillie 132kV Substation,,69,0,69,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iqh
657,656,Loch Luichart Extension II,BLUEBELL WIND FARM LIMITED,Loch Luichart Extension II Substation,,0,36,36,31/10/2024,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005inU
658,658,Loganhead Windfarm,LOGANHEAD WF LIMITED,Hopsrig Collector 132/33kV Substation,,0,36,36,31/10/2026,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005isN
659,659,London Array Offshore Wind Farm,LONDON ARRAY LIMITED,London Array 33/150kV Offshore Substations,,630,0,630,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005ipc
660,660,Longhaven Offshore Wind Farm,RENANTIS UK LIMITED,,,0,100,100,31/10/2033,Scoping,Directly Connected,,Wind Offshore,a0l8e0000010wTi
661,661,Lorg Extension Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Lorg Wind Farm 132/32kV,,0,33,33,13/08/2029,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iyn
662,662,Lorg Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Lorg Wind Farm 132/32kV,,0,69.5,69.5,30/04/2027,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikX
663,663,Lovedean (Tertiary),LOVEDEAN GREEN LIMITED,Lovedean 400kV Substation,1,0,49.9,49.9,30/07/2024,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005inX
664,664,Lovedean (Tertiary),LOVEDEAN GREEN LIMITED,Lovedean 400kV Substation,2,0,7.1,57,30/05/2025,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005inX
665,665,Lovedean Greener Grid Park,STATKRAFT UK LTD,Lovedean 400kV Substation,1,0,0,0,01/06/2024,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005iPL
666,666,Lovedean Greener Grid Park,STATKRAFT UK LTD,Lovedean 400kV Substation,2,0,49.9,49.9,01/06/2026,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005iPL
667,667,Lubreoch Hydro (Part of Killin Cascade Hydro Scheme),SSE GENERATION LIMITED,Killin GSP,,4,0,4,,Built,Embedded,SHET,Hydro,a0l4L0000005iQs
668,668,Luichart (part of the Conon Cascade),SSE GENERATION LIMITED,Luichart GSP,,34,0,34,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip3
669,669,Lullington Solar,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Drakelow 400kV Substation,,0,240,240,31/10/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iux
670,670,Lynemouth Power Station,LYNEMOUTH POWER LIMITED,Blyth GSP,,396,0,396,,Built,Embedded,NGET,Biomass,a0l4L0000005iVy
671,671,Lynes Common,RWE COGEN UK (HYTHE) LIMITED,Fawley 400kV Substation,,49.9,0,49.9,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iXL
672,672,Lyra Offshore Wind Farm,BLUEFLOAT ENERGY UK HOLDINGS LIMITED,Lyra 320/66kV Offshore Substation,,0,1200,1200,31/10/2033,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005izE
673,673,M74 West Wind Farm,RENEWCO POWER LIMITED,M74 West Wind Farm 132kV,,0,249.9,249.9,27/10/2028,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005itx
674,674,Mablethorpe Storage,STATERA ENERGY LIMITED,Mablethorpe 400kV Substation,,0,1500,1500,30/11/2031,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Demand,a0l4L0000005iw4
675,675,Maentwrog,NUCLEAR DECOMMISSIONING AUTHORITY,Maentwrog GSP,,30,0,30,,Built,Embedded,NGET,Hydro,a0l4L0000005iW1
676,676,Magwind,MAGNORA OFFSHORE WIND AS,New Dounreay,,0,495,495,31/10/2033,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005iis
677,677,Mannington,BAYWA R.E. UK LIMITED,Mannington GSP,,0,57,57,20/05/2025,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iba
678,678,Mannington,PIVOTED POWER LLP,Mannington GSP,,0,49.9,49.9,31/10/2024,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ibb
679,679,Mannington Tertiary,MANNINGTON ENERGY CENTRE LIMITED,Mannington 400kV Substation,,0,47.5,47.5,30/10/2025,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005izW
680,680,Marchwood,MARCHWOOD POWER LIMITED,Marchwood 400kV Substation,,920,0,920,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq2
681,681,MARCHWOOD ENERGY STORAGE,Penso Power Limited,Marchwood 400kV Substation,,0,200,200,14/11/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iuw
682,682,Margree Wind Farm,EnergyFarm UK Margree LLP,Quantans Hill 132kV,,0,50,50,31/10/2027,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ij9
683,683,Mark Hill Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Mark Hill 275kV Substation,,53,0,53,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imd
684,684,Markinch (Rothes) Biomass CHP Plant,RWE MARKINCH LIMITED,Glenrothes GSP,,55,0,55,,Built,Embedded,SPT,Biomass,a0l4L0000005iVQ
685,685,Medway Power Station,MEDWAY POWER LIMITED,Grain 400kV Substation,,735,175,910,30/10/2026,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq1
686,686,Meetlaw BESS,CARRAVINDOON LIMITED,Fiddes GSP,,0,49.9,49.9,31/10/2028,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iSs
687,687,Melksham,IGP SOLAR 15 LIMITED,Melksham 400kV Substation,,0,500,500,31/07/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iP1
688,688,Melksham  (Tertiary),MELKSHAM CALNE GREEN LIMITED,Melksham 400kV Substation,1,0,49.9,49.9,30/10/2022,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izl
689,689,Melksham  (Tertiary),MELKSHAM CALNE GREEN LIMITED,Melksham 400kV Substation,2,0,7.1,57,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izl
690,690,Melvich Wind Energy Hub,Melvich Wind Energy Hub Limited,Melvich GSP,,0,90,90,31/10/2027,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005iep
691,691,Mereid Offshore Wind Farm,South West Wind Holdco Limited,Pembroke 400kV Substation,,0,1008,1008,06/12/2036,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ivO
692,692,Merlin 2 Offshore Windfarm,OFFSHORE WIND LIMITED,Alverdiscott 400kV Substation,,0,1500,1500,31/10/2031,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iZb
693,693,Merlin Offshore Wind Farm,OFFSHORE WIND LIMITED,Alverdiscott 400kV Substation,,0,300,300,01/11/2028,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ihV
694,694,Merthyr Tydfil Solar,E.E.W. ECO ENERGY WORLD DEVELOPMENT HOLDING LIMITED,Cilfynydd 400kV Substation,,0,110,110,12/05/2029,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iY5
695,695,MeyGen Tidal,MEYGEN PLC,Gills Bay GSP,1,0,15,15,31/03/2026,Consents Approved,Directly Connected,SHET,Tidal,a0l4L0000005isu
696,696,MeyGen Tidal,MEYGEN PLC,Gills Bay GSP,2,0,56,71,31/03/2026,Consents Approved,Directly Connected,SHET,Tidal,a0l4L0000005isu
697,697,MeyGen Tidal,MEYGEN PLC,Gills Bay GSP,3,0,83,154,01/04/2026,Awaiting Consents,Directly Connected,SHET,Tidal,a0l4L0000005isu
698,698,MeyGen Tidal,MEYGEN PLC,Gills Bay GSP,4,0,83,237,01/04/2027,Awaiting Consents,Directly Connected,SHET,Tidal,a0l4L0000005isu
